NOMAD1,RAJ2000,DEJ2000,YM,r,pmRA,e_pmRA,pmDE,e_pmDE,Bmag,r_Bmag,Vmag,r_Vmag,Rmag,r_Rmag,Jmag,Hmag,Kmag,R
1251-0390273,299.7083389,35.1187917,YM,B,0.0,0.0,0.0,0.0,17.640,Y,17.090,Y,16.480,B,15.015,14.489,14.223,
1251-0390284,299.7103250,35.1247778,YM,B,12.0,3.0,-8.0,4.0,18.230,Y,17.200,Y,16.310,B,15.022,14.413,14.211,
1251-0390297,299.7124750,35.1032556,YM,B,0.0,0.0,0.0,0.0,16.300,o,16.780,Y,15.380,B,15.101,14.670,14.574,
1251-0390315,299.7162250,35.1218528,YM,Y,-96.6,9.0,5.7,9.0,,,16.450,Y,,,16.490,15.526,15.156,
1251-0390385,299.7315861,35.1156556,YM,B,0.0,0.0,0.0,0.0,16.490,Y,16.290,Y,15.050,B,13.765,13.398,13.185,
1251-0390404,299.7368083,35.1170222,YM,B,6.0,3.0,10.0,3.0,16.730,Y,17.150,Y,16.420,B,15.372,14.804,14.413,
1251-0390412,299.7378833,35.1181750,YM,B,0.0,0.0,0.0,0.0,19.050,B,16.490,Y,16.320,B,13.291,12.278,11.898,
1251-0390421,299.7407881,35.1228969,YM,C,-1.2,5.4,-1.9,5.4,14.250,Y,13.820,Y,13.080,B,11.192,10.598,10.457,
1251-0390365,299.7275917,35.1275944,YM,B,0.0,0.0,0.0,0.0,16.590,Y,16.100,Y,15.490,B,13.837,13.298,13.112,
1251-0390369,299.7287511,35.1315561,YM,C,-1.7,5.7,6.2,5.8,15.040,Y,14.620,Y,14.510,B,13.052,12.730,12.646,
1251-0390372,299.7288389,35.1233528,YM,B,8.0,1.0,-10.0,2.0,17.060,Y,16.910,Y,16.430,B,15.441,14.771,14.490,
1251-0390390,299.7335194,35.1249083,YM,B,0.0,0.0,0.0,0.0,18.260,Y,17.600,Y,16.750,B,15.634,15.307,14.807,
1251-0390418,299.7386864,35.1283603,YM,C,4.4,6.4,-18.4,6.3,15.920,Y,15.310,Y,15.150,B,14.047,13.653,13.491,
1251-0390434,299.7434722,35.1326694,YM,B,0.0,0.0,0.0,0.0,19.840,B,17.970,Y,16.430,B,12.201,10.917,10.461,
1251-0390384,299.7315514,35.1564597,YM,C,1.9,5.4,-19.4,5.4,14.470,Y,14.310,Y,13.860,B,12.873,12.468,12.383,
1251-0390399,299.7357250,35.1560111,YM,B,-10.0,5.0,-14.0,3.0,19.580,B,17.840,Y,17.270,B,15.721,14.955,14.772,
1251-0390430,299.7429550,35.1715022,YM,C,-0.6,5.4,-6.5,5.4,15.050,Y,14.770,Y,14.570,B,13.289,12.870,12.779,
1251-0390436,299.7443889,35.1641667,YM,B,0.0,0.0,0.0,0.0,16.190,Y,15.670,Y,15.420,B,14.159,13.669,13.553,
1251-0390440,299.7451139,35.1727861,YM,B,0.0,0.0,0.0,0.0,18.390,B,17.640,Y,16.230,B,14.961,14.384,14.053,
1251-0390532,299.7600869,35.1731650,YM,C,3.8,5.5,-2.7,6.2,15.780,Y,15.300,Y,15.350,B,13.854,13.500,13.356,
1250-0386117,299.5272222,35.0398417,YM,B,8.0,4.0,-10.0,0.0,18.350,Y,17.700,Y,16.940,B,14.946,14.419,14.198,
1250-0386427,299.5820106,35.0448692,YM,C,-3.1,6.0,-5.5,5.5,16.670,Y,15.300,Y,14.260,B,10.451,9.535,9.175,
1250-0386436,299.5835217,35.0391256,YM,C,1.2,5.4,-0.2,5.4,15.430,Y,15.160,Y,14.750,B,13.590,13.199,13.078,
1250-0386486,299.5915833,35.0446750,YM,B,0.0,0.0,0.0,0.0,18.360,B,17.430,Y,16.840,B,15.800,15.199,15.067,
1250-0386488,299.5923039,35.0475269,YM,C,-7.5,5.4,-6.8,6.2,17.460,Y,16.440,Y,15.460,B,11.865,10.933,10.598,
1250-0386519,299.5987611,35.0566583,YM,B,2.0,1.0,0.0,2.0,17.680,Y,16.930,Y,16.480,B,14.489,13.930,13.813,
1250-0386541,299.6023389,35.0409583,YM,Y,-20.2,9.0,27.4,9.0,16.630,Y,17.970,Y,,,16.727,16.652,15.951,
1250-0386559,299.6063922,35.0497183,YM,C,-0.2,5.4,-10.3,5.4,15.270,Y,15.120,Y,14.680,B,13.632,13.264,13.154,
1250-0386568,299.6076769,35.0435094,YM,C,14.2,5.6,-0.7,6.1,15.580,Y,15.470,Y,14.930,B,13.787,13.507,13.364,
1250-0386171,299.5352111,35.0427194,YM,B,0.0,0.0,0.0,0.0,17.610,Y,16.340,Y,15.440,B,11.984,10.939,10.544,
1250-0386224,299.5439833,35.0433944,YM,B,0.0,0.0,0.0,0.0,19.270,B,17.410,Y,16.570,B,13.320,12.377,12.044,
1250-0386257,299.5485397,35.0560972,YM,C,-1.9,5.4,-12.5,5.6,15.480,Y,15.270,Y,15.270,B,13.849,13.479,13.428,
1250-0386300,299.5568694,35.0518222,YM,Y,25.9,9.0,-2.7,9.0,18.130,Y,17.240,Y,,,16.021,15.314,13.678,
1250-0386316,299.5604547,35.0599839,YM,C,1.7,5.8,-4.7,5.4,16.260,Y,15.640,Y,15.490,B,13.914,13.433,13.287,
1250-0386328,299.5636278,35.0497806,YM,B,0.0,0.0,0.0,0.0,17.210,Y,16.970,Y,16.350,B,15.121,14.573,14.612,
1250-0386370,299.5724472,35.0447972,YM,B,14.0,10.0,8.0,1.0,18.190,Y,17.470,Y,17.160,B,15.648,14.891,14.708,
1250-0386291,299.5553806,35.0678778,YM,B,0.0,0.0,0.0,0.0,16.520,Y,16.510,Y,15.870,B,13.660,12.680,12.323,
1250-0386317,299.5612611,35.0687444,YM,B,0.0,0.0,0.0,0.0,16.740,Y,16.110,Y,15.780,B,13.785,13.419,13.183,
1250-0386339,299.5662167,35.0777889,YM,B,-6.0,8.0,-22.0,7.0,15.680,Y,15.450,Y,14.990,B,13.980,13.483,13.441,
1250-0386343,299.5668194,35.0791028,YM,B,0.0,0.0,0.0,0.0,17.440,Y,17.030,Y,16.180,B,15.529,15.048,14.928,
1250-0386358,299.5701361,35.0829000,YM,B,0.0,0.0,0.0,0.0,18.680,B,17.180,Y,16.100,B,12.779,11.852,11.503,
1250-0386387,299.5753306,35.0623750,YM,B,0.0,0.0,0.0,0.0,19.220,B,17.840,Y,16.630,B,14.663,14.028,13.771,
1250-0386405,299.5792500,35.0830333,YM,B,0.0,0.0,0.0,0.0,,,17.210,Y,17.950,e,15.939,15.067,14.711,
1250-0386411,299.5798500,35.0749306,YM,Y,-49.2,9.0,-16.2,9.0,,,17.470,Y,,,16.222,15.368,14.987,
1250-0386432,299.5823611,35.0730806,YM,B,0.0,0.0,0.0,0.0,18.600,B,17.180,Y,15.290,B,10.365,9.067,8.553,
1250-0386435,299.5831750,35.0603639,YM,B,0.0,0.0,0.0,0.0,17.500,Y,17.370,Y,16.560,B,14.288,13.826,13.669,
1250-0386439,299.5835978,35.0646475,YM,C,0.2,6.0,-2.7,5.4,15.710,Y,15.690,Y,15.540,B,14.236,13.788,13.666,
1250-0386448,299.5850250,35.0588556,YM,B,0.0,0.0,0.0,0.0,16.740,Y,16.940,Y,16.270,B,15.162,14.807,14.785,
